,Loan_ID,Loan_Status,Gender,Married,Locality,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area
118,LP001841,Y,Male,No,"Amit Enclave, Gurgaon",0,Not Graduate,Yes,2583,2167,104,360,1,Rural
119,LP001529,Y,Male,Yes,"Amit Enclave, Gurgaon",0,Graduate,Yes,2577,3750,152,360,1,Rural
120,LP002772,Y,Male,No,"Amit Enclave, Gurgaon",0,Graduate,No,2526,1783,145,360,1,Rural
121,LP002006,Y,Female,No,"Amit Enclave, Gurgaon",0,Graduate,No,2507,0,56,360,1,Rural
122,LP002112,Y,Male,Yes,"Amit Enclave, Gurgaon",2,Graduate,Yes,2500,4600,176,360,1,Rural
123,LP002449,Y,Male,Yes,"Amit Enclave, Gurgaon",0,Graduate,No,2483,2466,90,180,0,Rural
124,LP001578,Y,Male,Yes,"Amit Enclave, Gurgaon",0,Graduate,No,2439,3333,129,360,1,Rural
125,LP002116,N,Female,No,"Amit Enclave, Gurgaon",0,Graduate,No,2378,0,46,360,1,Rural
126,LP002446,N,Male,Yes,"Amit Enclave, Gurgaon",2,Not Graduate,No,2309,1255,125,360,0,Rural
127,LP001532,N,Male,Yes,"Amit Enclave, Gurgaon",2,Not Graduate,No,2281,0,113,360,1,Rural
128,LP002332,Y,Male,Yes,"Amit Enclave, Gurgaon",0,Not Graduate,No,2253,2033,110,360,1,Rural
129,LP002314,Y,Female,No,"Amit Enclave, Gurgaon",0,Not Graduate,No,2213,0,66,360,1,Rural
130,LP001641,N,Male,Yes,"Amit Enclave, Gurgaon",1,Graduate,Yes,2178,0,66,300,0,Rural
131,LP001608,Y,Male,Yes,"Amit Enclave, Gurgaon",2,Graduate,No,2045,1619,101,360,1,Rural
132,LP002544,Y,Male,Yes,"Amit Enclave, Gurgaon",1,Not Graduate,No,1958,2436,131,360,1,Rural
133,LP001029,N,Male,No,"Amit Enclave, Gurgaon",0,Graduate,No,1853,2840,114,360,1,Rural
134,LP002877,Y,Male,Yes,"Amit Enclave, Gurgaon",1,Graduate,No,1782,2232,107,360,1,Rural
135,LP002345,Y,Male,Yes,"Amit Enclave, Gurgaon",0,Graduate,No,1025,2773,112,360,1,Rural
136,LP002603,Y,Female,No,"Amit Enclave, Gurgaon",0,Graduate,No,645,3683,113,480,1,Rural
137,LP001722,N,Male,Yes,"Amit Enclave, Gurgaon",0,Graduate,No,150,1800,135,360,1,Rural
138,LP001536,Y,Male,Yes,"Richmond, New Delhi",3,Graduate,No,39999,0,600,180,0,Semiurban
139,LP001640,Y,Male,Yes,"Richmond, New Delhi",0,Graduate,Yes,39147,4750,120,360,1,Semiurban
140,LP002422,Y,Male,No,"Richmond, New Delhi",1,Graduate,No,37719,0,152,360,1,Semiurban
141,LP001637,N,Male,Yes,"Richmond, New Delhi",1,Graduate,No,33846,0,260,360,1,Semiurban
142,LP002813,Y,Female,Yes,"Richmond, New Delhi",1,Graduate,Yes,19484,0,600,360,1,Semiurban
143,LP002582,Y,Female,No,"Richmond, New Delhi",0,Not Graduate,Yes,17263,0,225,360,1,Semiurban
144,LP002531,Y,Male,Yes,"Richmond, New Delhi",1,Graduate,Yes,16667,2250,86,360,1,Semiurban
145,LP002194,Y,Female,No,"Richmond, New Delhi",0,Graduate,Yes,15759,0,55,360,1,Semiurban
146,LP001492,N,Male,No,"Richmond, New Delhi",0,Graduate,No,14999,0,242,360,0,Semiurban
147,LP002364,Y,Male,Yes,"Richmond, New Delhi",0,Graduate,No,14880,0,96,360,1,Semiurban
148,LP001907,Y,Male,Yes,"Richmond, New Delhi",0,Graduate,No,14583,0,436,360,1,Semiurban
149,LP001020,N,Male,Yes,"Richmond, New Delhi",1,Graduate,No,12841,10968,349,360,1,Semiurban
150,LP001656,N,Male,No,"Richmond, New Delhi",0,Graduate,No,12000,0,164,360,1,Semiurban
151,LP002959,Y,Female,Yes,"Richmond, New Delhi",1,Graduate,No,12000,0,496,360,1,Semiurban
152,LP002541,Y,Male,Yes,"Richmond, New Delhi",0,Graduate,No,10833,0,234,360,1,Semiurban
153,LP002795,Y,Male,Yes,"Richmond, New Delhi",3,Graduate,Yes,10139,0,260,360,1,Semiurban
154,LP001708,N,Female,No,"Richmond, New Delhi",0,Graduate,No,10000,0,214,360,1,Semiurban
155,LP001066,Y,Male,Yes,"Richmond, New Delhi",0,Graduate,Yes,9560,0,191,360,1,Semiurban
156,LP002139,Y,Male,Yes,"Richmond, New Delhi",0,Graduate,No,9083,0,228,360,1,Semiurban
157,LP002377,Y,Female,No,"Richmond, New Delhi",1,Graduate,Yes,8624,0,150,360,1,Semiurban
158,LP002473,N,Male,Yes,"Richmond, New Delhi",0,Graduate,No,8334,0,160,360,1,Semiurban
159,LP001776,Y,Female,No,"Richmond, New Delhi",0,Graduate,No,8333,0,280,360,1,Semiurban
160,LP002543,Y,Male,Yes,"Richmond, New Delhi",2,Graduate,No,8333,0,246,360,1,Semiurban
161,LP002315,N,Male,Yes,"Richmond, New Delhi",1,Graduate,No,8300,0,152,300,0,Semiurban
162,LP001580,Y,Male,Yes,"Richmond, New Delhi",2,Graduate,No,8000,0,200,360,1,Semiurban
163,LP002453,Y,Male,No,"Richmond, New Delhi",0,Graduate,Yes,7085,0,84,360,1,Semiurban
164,LP001504,Y,Male,No,"Richmond, New Delhi",0,Graduate,Yes,6950,0,175,180,1,Semiurban
165,LP001953,Y,Male,Yes,"Sukhdev Enclave, New Delhi",1,Graduate,No,6875,0,200,360,1,Semiurban
166,LP002716,Y,Male,No,"Sukhdev Enclave, New Delhi",0,Not Graduate,No,6783,0,130,360,1,Semiurban
167,LP002529,Y,Male,Yes,"Sukhdev Enclave, New Delhi",2,Graduate,No,6700,1750,230,300,1,Semiurban
168,LP002892,Y,Male,Yes,"Sukhdev Enclave, New Delhi",2,Graduate,No,6540,0,205,360,1,Semiurban
169,LP002863,N,Male,Yes,"Sukhdev Enclave, New Delhi",3,Graduate,No,6406,0,150,360,1,Semiurban
170,LP002190,Y,Male,Yes,"Sukhdev Enclave, New Delhi",1,Graduate,No,6325,0,175,360,1,Semiurban
171,LP001318,Y,Male,Yes,"Sukhdev Enclave, New Delhi",2,Graduate,No,6250,5654,188,180,1,Semiurban
172,LP001750,Y,Male,Yes,"Sukhdev Enclave, New Delhi",0,Graduate,No,6250,0,128,360,1,Semiurban
173,LP001758,Y,Male,Yes,"Sukhdev Enclave, New Delhi",2,Graduate,No,6250,1695,210,360,1,Semiurban
174,LP002862,N,Male,Yes,"Sukhdev Enclave, New Delhi",2,Not Graduate,No,6125,1625,187,480,1,Semiurban
175,LP002640,Y,Male,Yes,"Sukhdev Enclave, New Delhi",1,Graduate,No,6065,2004,250,360,1,Semiurban
176,LP002931,N,Male,Yes,"Sukhdev Enclave, New Delhi",2,Graduate,Yes,6000,0,205,240,1,Semiurban
177,LP002229,Y,Male,No,"Sukhdev Enclave, New Delhi",0,Graduate,No,5941,4232,296,360,1,Semiurban
178,LP002368,Y,Male,Yes,"Sukhdev Enclave, New Delhi",2,Graduate,No,5935,0,133,360,1,Semiurban
179,LP002082,Y,Male,Yes,"Sukhdev Enclave, New Delhi",0,Graduate,Yes,5818,2160,184,360,1,Semiurban
180,LP002821,Y,Male,No,"Sukhdev Enclave, New Delhi",0,Not Graduate,Yes,5800,0,132,360,1,Semiurban
181,LP001225,N,Male,Yes,"Sukhdev Enclave, New Delhi",0,Graduate,No,5726,4595,258,360,1,Semiurban
182,LP001594,Y,Male,Yes,"Sukhdev Enclave, New Delhi",0,Graduate,No,5708,5625,187,360,1,Semiurban
183,LP001310,Y,Male,Yes,"Sukhdev Enclave, New Delhi",0,Graduate,No,5695,4167,175,360,1,Semiurban
184,LP002792,Y,Male,Yes,"Sukhdev Enclave, New Delhi",1,Graduate,No,5468,1032,26,360,1,Semiurban
185,LP002706,Y,Male,Yes,"Sukhdev Enclave, New Delhi",1,Not Graduate,No,5285,1430,161,360,0,Semiurban
186,LP001253,Y,Male,Yes,"Sukhdev Enclave, New Delhi",3,Graduate,Yes,5266,1774,187,360,1,Semiurban
187,LP002197,Y,Male,Yes,"Sukhdev Enclave, New Delhi",2,Graduate,No,5185,0,155,360,1,Semiurban
188,LP002160,Y,Male,Yes,"Sukhdev Enclave, New Delhi",3,Graduate,No,5167,3167,200,360,1,Semiurban
189,LP001872,Y,Male,No,"Sukhdev Enclave, New Delhi",0,Graduate,Yes,5166,0,128,360,1,Semiurban
190,LP002170,Y,Male,Yes,"Sukhdev Enclave, New Delhi",2,Graduate,No,5000,3667,236,360,1,Semiurban
191,LP002776,N,Female,No,"Sukhdev Enclave, New Delhi",0,Graduate,No,5000,0,103,360,0,Semiurban
192,LP001677,Y,Male,No,"Sukhdev Enclave, New Delhi",2,Graduate,No,4923,0,166,360,0,Semiurban
193,LP001487,Y,Male,No,"Sukhdev Enclave, New Delhi",0,Graduate,No,4895,0,102,360,1,Semiurban
194,LP002615,Y,Male,Yes,"Sukhdev Enclave, New Delhi",2,Graduate,No,4865,5624,208,360,1,Semiurban
195,LP001520,Y,Male,Yes,"Sukhdev Enclave, New Delhi",0,Graduate,No,4860,830,125,360,1,Semiurban
196,LP001349,Y,Male,No,"Sukhdev Enclave, New Delhi",0,Graduate,No,4843,3806,151,360,1,Semiurban
197,LP002161,N,Female,No,"Sukhdev Enclave, New Delhi",1,Graduate,No,4723,0,81,360,1,Semiurban
198,LP001877,Y,Male,Yes,"Sukhdev Enclave, New Delhi",2,Graduate,No,4708,1387,150,360,1,Semiurban
199,LP002418,Y,Male,No,"Sukhdev Enclave, New Delhi",3,Not Graduate,No,4707,1993,148,360,1,Semiurban
200,LP002519,Y,Male,Yes,"Sukhdev Enclave, New Delhi",3,Graduate,No,4691,0,100,360,1,Semiurban
201,LP002683,N,Male,No,"Sukhdev Enclave, New Delhi",0,Graduate,No,4683,1915,185,360,1,Semiurban
202,LP002741,Y,Female,Yes,"Sukhdev Enclave, New Delhi",1,Graduate,No,4608,2845,140,180,1,Semiurban
203,LP001636,Y,Male,Yes,"Sukhdev Enclave, New Delhi",0,Graduate,No,4600,0,73,180,1,Semiurban
204,LP001552,Y,Male,Yes,"Sukhdev Enclave, New Delhi",0,Graduate,No,4583,5625,255,360,1,Semiurban
205,LP002555,Y,Male,Yes,"Sukhdev Enclave, New Delhi",2,Graduate,Yes,4583,2083,160,360,1,Semiurban
206,LP002305,Y,Female,No,"Sukhdev Enclave, New Delhi",0,Graduate,No,4547,0,115,360,1,Semiurban
207,LP001692,Y,Female,No,"Sukhdev Enclave, New Delhi",0,Not Graduate,No,4408,0,120,360,1,Semiurban
208,LP001938,N,Male,Yes,"Sukhdev Enclave, New Delhi",2,Graduate,No,4400,0,127,360,0,Semiurban
209,LP001603,N,Male,Yes,"Sukhdev Enclave, New Delhi",0,Not Graduate,Yes,4344,736,87,360,1,Semiurban
210,LP002053,Y,Male,Yes,"Sukhdev Enclave, New Delhi",3,Graduate,No,4342,189,124,360,1,Semiurban
211,LP001241,N,Female,No,"Sukhdev Enclave, New Delhi",0,Graduate,No,4300,0,136,360,0,Semiurban
212,LP001164,N,Female,No,"Sukhdev Enclave, New Delhi",0,Graduate,No,4230,0,112,360,1,Semiurban
213,LP001334,Y,Male,Yes,"Sukhdev Enclave, New Delhi",0,Not Graduate,No,4188,0,115,180,1,Semiurban
214,LP002804,Y,Female,Yes,"Sukhdev Enclave, New Delhi",0,Graduate,No,4180,2306,182,360,1,Semiurban
215,LP001222,N,Female,No,"Sukhdev Enclave, New Delhi",0,Graduate,No,4166,0,116,360,0,Semiurban
216,LP001430,Y,Female,No,"Sukhdev Enclave, New Delhi",0,Graduate,No,4166,0,44,360,1,Semiurban
217,LP002493,N,Male,No,"Sukhdev Enclave, New Delhi",0,Graduate,No,4166,0,98,360,0,Semiurban
218,LP002114,Y,Female,No,"Sukhdev Enclave, New Delhi",0,Graduate,No,4160,0,71,360,1,Semiurban
219,LP001322,Y,Male,No,"Sukhdev Enclave, New Delhi",0,Graduate,No,4133,0,122,360,1,Semiurban
220,LP001931,Y,Female,No,"Sukhdev Enclave, New Delhi",0,Graduate,No,4124,0,115,360,1,Semiurban
221,LP001743,Y,Male,Yes,"Sukhdev Enclave, New Delhi",2,Graduate,No,4009,1717,116,360,1,Semiurban
222,LP001151,Y,Female,No,"Sukhdev Enclave, New Delhi",0,Graduate,No,4000,2275,144,360,1,Semiurban
223,LP001488,N,Male,Yes,"Sukhdev Enclave, New Delhi",3,Graduate,No,4000,7750,290,360,1,Semiurban
224,LP001903,Y,Male,Yes,"Sukhdev Enclave, New Delhi",0,Graduate,No,3993,3274,207,360,1,Semiurban
225,LP001131,Y,Male,Yes,"Sukhdev Enclave, New Delhi",0,Graduate,No,3941,2336,134,360,1,Semiurban
226,LP001914,Y,Male,Yes,"Sukhdev Enclave, New Delhi",0,Graduate,No,3927,800,112,360,1,Semiurban
227,LP001691,Y,Male,Yes,"Sukhdev Enclave, New Delhi",2,Not Graduate,No,3917,0,124,360,1,Semiurban
228,LP001896,Y,Male,Yes,"Sukhdev Enclave, New Delhi",2,Graduate,No,3900,0,90,360,1,Semiurban
229,LP002798,Y,Male,Yes,"Sukhdev Enclave, New Delhi",0,Graduate,No,3887,2669,162,360,1,Semiurban
230,LP002318,N,Female,No,"Sukhdev Enclave, New Delhi",1,Not Graduate,Yes,3867,0,62,360,1,Semiurban
231,LP002455,Y,Male,Yes,"Sukhdev Enclave, New Delhi",2,Graduate,No,3859,0,96,360,1,Semiurban
232,LP001658,Y,Male,No,"Sukhdev Enclave, New Delhi",0,Graduate,No,3858,0,76,360,1,Semiurban
233,LP001720,Y,Male,Yes,"Sukhdev Enclave, New Delhi",3,Not Graduate,No,3850,983,100,360,1,Semiurban
234,LP001265,Y,Female,No,"Sukhdev Enclave, New Delhi",0,Graduate,No,3846,0,111,360,1,Semiurban
235,LP002619,Y,Male,Yes,"Sukhdev Enclave, New Delhi",0,Not Graduate,No,3814,1483,124,300,1,Semiurban
236,LP002705,Y,Male,Yes,"Sukhdev Enclave, New Delhi",0,Graduate,No,3775,0,110,360,1,Semiurban
237,LP001616,Y,Male,Yes,"Sukhdev Enclave, New Delhi",1,Graduate,No,3750,0,116,360,1,Semiurban
238,LP001116,Y,Male,No,"Sukhdev Enclave, New Delhi",0,Not Graduate,No,3748,1668,110,360,1,Semiurban
